    borough    | hour_of_day | total_accidents | serious_accidents 
---------------+-------------+-----------------+-------------------
               |          15 |             993 |                34
               |          21 |             537 |                29
               |          17 |            1101 |                27
               |          14 |             997 |                23
               |          22 |             538 |                22
               |          23 |             484 |                20
               |          18 |             873 |                17
               |           8 |             921 |                16
               |          13 |             908 |                16
 BROOKLYN      |          21 |             384 |                16
               |           9 |             845 |                15
               |          20 |             594 |                15
               |          16 |            1053 |                14
               |          12 |             820 |                14
 BROOKLYN      |          16 |             793 |                14
 QUEENS        |          17 |             719 |                14
 BROOKLYN      |          17 |             786 |                13
 BROOKLYN      |          15 |             731 |                13
               |          19 |             694 |                13
               |           0 |             609 |                13
 QUEENS        |          19 |             497 |                13
 BROOKLYN      |           0 |             402 |                12
 QUEENS        |          22 |             289 |                12
 QUEENS        |          16 |             727 |                11
 QUEENS        |          12 |             571 |                11
               |          10 |             727 |                10
 BROOKLYN      |          18 |             645 |                10
               |           7 |             601 |                10
 QUEENS        |          18 |             561 |                10
 QUEENS        |          20 |             397 |                10
 BROOKLYN      |          22 |             346 |                10
 QUEENS        |          14 |             686 |                 9
 BROOKLYN      |           9 |             602 |                 9
 BROOKLYN      |           8 |             594 |                 9
 QUEENS        |          13 |             547 |                 9
 BROOKLYN      |          19 |             521 |                 9
               |           4 |             234 |                 9
 BRONX         |          21 |             189 |                 9
 BROOKLYN      |          14 |             814 |                 8
 QUEENS        |          15 |             634 |                 8
 QUEENS        |           8 |             564 |                 8
 QUEENS        |          10 |             442 |                 8
 BRONX         |          15 |             370 |                 8
 BRONX         |          16 |             367 |                 8
 QUEENS        |          21 |             366 |                 8
               |           1 |             268 |                 8
 BRONX         |           0 |             210 |                 8
               |           2 |             199 |                 8
 BROOKLYN      |          20 |             452 |                 7
 BRONX         |          14 |             367 |                 7
 BRONX         |          13 |             313 |                 7
               |          11 |             779 |                 6
 BROOKLYN      |          13 |             721 |                 6
 BROOKLYN      |          12 |             623 |                 6
               |           6 |             455 |                 6
 BRONX         |          17 |             374 |                 6
 BRONX         |          11 |             282 |                 6
 BROOKLYN      |          23 |             259 |                 6
               |           3 |             189 |                 6
 BROOKLYN      |          11 |             604 |                 5
 QUEENS        |           7 |             321 |                 5
 BRONX         |          20 |             215 |                 5
 BROOKLYN      |          10 |             582 |                 4
 QUEENS        |          11 |             486 |                 4
 QUEENS        |           9 |             483 |                 4
 MANHATTAN     |          17 |             424 |                 4
 MANHATTAN     |          12 |             404 |                 4
 BRONX         |          18 |             341 |                 4
 BRONX         |           8 |             332 |                 4
 BRONX         |          10 |             258 |                 4
 BRONX         |          19 |             245 |                 4
 QUEENS        |          23 |             235 |                 4
 MANHATTAN     |          21 |             229 |                 4
 MANHATTAN     |          15 |             398 |                 3
 BROOKLYN      |           7 |             314 |                 3
 QUEENS        |           0 |             270 |                 3
               |           5 |             233 |                 3
 BROOKLYN      |           1 |             155 |                 3
 BRONX         |          22 |             155 |                 3
 QUEENS        |           1 |             142 |                 3
 QUEENS        |           4 |             136 |                 3
 BRONX         |          23 |             127 |                 3
 BROOKLYN      |           5 |             107 |                 3
 MANHATTAN     |           4 |              80 |                 3
 BRONX         |           4 |              69 |                 3
 STATEN ISLAND |          14 |              67 |                 3
 STATEN ISLAND |          18 |              63 |                 3
 STATEN ISLAND |          17 |              58 |                 3
 STATEN ISLAND |          21 |              30 |                 3
 MANHATTAN     |          18 |             338 |                 2
 MANHATTAN     |          19 |             293 |                 2
 BRONX         |           9 |             274 |                 2
 BRONX         |          12 |             267 |                 2
 MANHATTAN     |           0 |             258 |                 2
 MANHATTAN     |          20 |             247 |                 2
 QUEENS        |           6 |             247 |                 2
 MANHATTAN     |          22 |             217 |                 2
 BRONX         |           7 |             203 |                 2
 MANHATTAN     |           7 |             176 |                 2
 QUEENS        |           5 |             136 |                 2
 MANHATTAN     |           1 |             133 |                 2
 BROOKLYN      |           2 |             131 |                 2
 BROOKLYN      |           4 |             113 |                 2
 BROOKLYN      |           3 |             109 |                 2
 QUEENS        |           2 |              99 |                 2
 QUEENS        |           3 |              95 |                 2
 BRONX         |           5 |              78 |                 2
 MANHATTAN     |           5 |              73 |                 2
 STATEN ISLAND |          13 |              51 |                 2
 STATEN ISLAND |          19 |              45 |                 2
 STATEN ISLAND |          12 |              43 |                 2
 MANHATTAN     |          16 |             421 |                 1
 MANHATTAN     |          14 |             419 |                 1
 MANHATTAN     |          13 |             395 |                 1
 MANHATTAN     |           9 |             376 |                 1
 MANHATTAN     |          11 |             346 |                 1
 MANHATTAN     |           8 |             288 |                 1
 BROOKLYN      |           6 |             203 |                 1
 MANHATTAN     |          23 |             193 |                 1
 MANHATTAN     |           6 |             136 |                 1
 MANHATTAN     |           3 |              88 |                 1
 STATEN ISLAND |          16 |              67 |                 1
 STATEN ISLAND |          15 |              65 |                 1
 BRONX         |           1 |              55 |                 1
 STATEN ISLAND |           8 |              41 |                 1
 STATEN ISLAND |           9 |              38 |                 1
 STATEN ISLAND |           7 |              30 |                 1
 STATEN ISLAND |          22 |              25 |                 1
 STATEN ISLAND |           5 |              10 |                 1
 MANHATTAN     |          10 |             375 |                 0
 BRONX         |           6 |             120 |                 0
 BRONX         |           3 |              81 |                 0
 MANHATTAN     |           2 |              72 |                 0
 BRONX         |           2 |              54 |                 0
 STATEN ISLAND |          20 |              47 |                 0
 STATEN ISLAND |          11 |              44 |                 0
 STATEN ISLAND |          10 |              41 |                 0
 STATEN ISLAND |           0 |              22 |                 0
 STATEN ISLAND |          23 |              18 |                 0
 STATEN ISLAND |           4 |              13 |                 0
 STATEN ISLAND |           2 |              11 |                 0
 STATEN ISLAND |           6 |              10 |                 0
 STATEN ISLAND |           1 |               8 |                 0
 STATEN ISLAND |           3 |               7 |                 0
(144 rows)

    borough    | total_accidents | serious_accidents | serious_fraction | serious_pct 
---------------+-----------------+-------------------+------------------+-------------
 BRONX         |           30606 |               605 |            0.020 |        1.98
 STATEN ISLAND |            7152 |               137 |            0.019 |        1.92
 BROOKLYN      |           61571 |              1093 |            0.018 |        1.78
 QUEENS        |           52277 |               895 |            0.017 |        1.71
 MANHATTAN     |           37175 |               330 |            0.009 |        0.89
(5 rows)

 day_of_week | day_name  | total_accidents | serious_accidents | serious_pct 
-------------+-----------+-----------------+-------------------+-------------
           0 | Sunday    |           33245 |               915 |        2.75
           1 | Monday    |           39694 |               646 |        1.63
           2 | Tuesday   |           40609 |               697 |        1.72
           3 | Wednesday |           40591 |               660 |        1.63
           4 | Thursday  |           41856 |               677 |        1.62
           5 | Friday    |           44466 |               742 |        1.67
           6 | Saturday  |           37705 |               930 |        2.47
(7 rows)

 zip_code | total_accidents | serious_accidents | serious_pct 
----------+-----------------+-------------------+-------------
 11236    |            2838 |                99 |        3.49
 11207    |            3905 |                97 |        2.48
 11208    |            2438 |                74 |        3.04
 11212    |            2491 |                73 |        2.93
 11203    |            2613 |                64 |        2.45
 11234    |            2562 |                61 |        2.38
 11434    |            2363 |                57 |        2.41
 11233    |            2115 |                56 |        2.65
 11422    |            1286 |                47 |        3.65
 10466    |            1811 |                46 |        2.54
 11226    |            2436 |                46 |        1.89
 10469    |            1543 |                45 |        2.92
 10457    |            1758 |                44 |        2.50
 11420    |            1648 |                42 |        2.55
 11210    |            1704 |                42 |        2.46
 10467    |            1982 |                39 |        1.97
 11413    |            1506 |                39 |        2.59
 10459    |            1499 |                38 |        2.54
 10454    |            1371 |                35 |        2.55
 10451    |            1501 |                33 |        2.20
(20 rows)

 year | month | total_accidents | serious_accidents | serious_pct 
------+-------+-----------------+-------------------+-------------
 2022 |     1 |            1850 |                48 |        2.59
 2022 |     2 |            1619 |                34 |        2.10
 2022 |     3 |            2027 |                56 |        2.76
 2022 |     4 |            1983 |                44 |        2.22
 2022 |     5 |            2111 |                49 |        2.32
 2022 |     6 |            2142 |                58 |        2.71
 2022 |     7 |            2059 |                64 |        3.11
 2022 |     8 |            2008 |                60 |        2.99
 2022 |     9 |            2050 |                58 |        2.83
 2022 |    10 |            1584 |                43 |        2.71
 2021 |     1 |            1777 |                46 |        2.59
 2021 |     2 |            1624 |                42 |        2.59
 2021 |     3 |            1912 |                64 |        3.35
 2021 |     4 |            2007 |                61 |        3.04
 2021 |     5 |            2439 |                79 |        3.24
 2021 |     6 |            2520 |                66 |        2.62
 2021 |     7 |            2374 |                63 |        2.65
 2021 |     8 |            2262 |                68 |        3.01
 2021 |     9 |            2219 |                66 |        2.97
 2021 |    10 |            2367 |                58 |        2.45
 2021 |    11 |            2190 |                53 |        2.42
 2021 |    12 |            2017 |                51 |        2.53
 2020 |     1 |            3359 |                57 |        1.70
 2020 |     2 |            3136 |                53 |        1.69
 2020 |     3 |            2551 |                42 |        1.65
 2020 |     4 |             910 |                11 |        1.21
 2020 |     5 |            1415 |                40 |        2.83
 2020 |     6 |            1808 |                50 |        2.77
 2020 |     7 |            2133 |                62 |        2.91
 2020 |     8 |            2324 |                82 |        3.53
 2020 |     9 |            2241 |                64 |        2.86
 2020 |    10 |            2206 |                51 |        2.31
 2020 |    11 |            2090 |                74 |        3.54
